code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
SZSE.IDX.399701,LONG,201801031500,7594.69,201801081500,7759.54,1,164.85,196.04,-10.88,164.85,enterlong,exitlong,1,4
SZSE.IDX.399701,LONG,201801091500,7802.97,201801121500,7936.07,1,133.1,204.58,-18.81,297.95,enterlong,exitlong,5,8
SZSE.IDX.399701,LONG,201801151500,8050.55,201801181500,8144.33,1,93.78,236.11,0,391.73,enterlong,exitlong,9,12
SZSE.IDX.399701,LONG,201801191500,8195.09,201801221500,8143.12,1,-51.97,76.47,-64.13,339.76,enterlong,exitlong,13,14
SZSE.IDX.399701,LONG,201801231500,8358.87,201801251500,8357.55,1,-1.32,87.31,-53.76,338.44,enterlong,exitlong,15,17
SZSE.IDX.399701,SHORT,201801261500,8283.49,201801291500,8349.61,1,-66.12,22.53,-121.31,272.32,entershort,exitshort,18,19
SZSE.IDX.399701,SHORT,201801301500,8126.69,201802011500,8094.6,1,32.09,149.92,-23.51,304.41,entershort,exitshort,20,22
SZSE.IDX.399701,SHORT,201802021500,7886.71,201802051500,7891.86,1,-5.15,85.44,-139.35,299.26,entershort,exitshort,23,24
SZSE.IDX.399701,LONG,201802061500,7765.99,201802071500,7829.98,1,63.99,57.49,-125.59,363.25,enterlong,exitlong,25,26
SZSE.IDX.399701,SHORT,201802081500,7376.99,201802091500,7197.7,1,179.29,22.35,-143.44,542.54,entershort,exitshort,27,28
SZSE.IDX.399701,SHORT,201802121500,7131.83,201802131500,7347.47,1,-215.64,6.04,-172.63,326.9,entershort,exitshort,29,30
SZSE.IDX.399701,LONG,201802141500,7394.84,201802261500,7723.92,1,329.08,324.03,-37.89,655.98,enterlong,exitlong,31,34
SZSE.IDX.399701,LONG,201802271500,7751.94,201802281500,7441.15,1,-310.79,0,-227.25,345.19,enterlong,exitlong,35,36
SZSE.IDX.399701,LONG,201803011500,7441.35,201803061500,7472.92,1,31.57,120.77,-27.64,376.76,enterlong,exitlong,37,40
SZSE.IDX.399701,LONG,201803071500,7566.63,201803081500,7517.44,1,-49.19,59.97,-70.19,327.57,enterlong,exitlong,41,42
SZSE.IDX.399701,LONG,201803091500,7665.89,201803121500,7732.99,1,67.1,28.39,-47.25,394.67,enterlong,exitlong,43,44
