code,target,sigprice,gentime,usertag
SZSE.IDX.399701,0,5846.48,20180816150000000,exitshort
SZSE.IDX.399701,-1,5780.49,20180817150000000,entershort
SZSE.IDX.399701,0,5840.08,20180820150000000,exitshort
SZSE.IDX.399701,1,5946.32,20180821150000000,enterlong
SZSE.IDX.399701,0,5908.11,20180822150000000,exitlong
SZSE.IDX.399701,1,5894.27,20180823150000000,enterlong
SZSE.IDX.399701,0,5902.12,20180824150000000,exitlong
SZSE.IDX.399701,1,6079.69,20180827150000000,enterlong
SZSE.IDX.399701,0,6058.29,20180829150000000,exitlong
SZSE.IDX.399701,1,5989.16,20180830150000000,enterlong
SZSE.IDX.399701,0,5961.78,20180831150000000,exitlong
SZSE.IDX.399701,-1,5931.21,20180903150000000,entershort
SZSE.IDX.399701,0,6002.5,20180904150000000,exitshort
SZSE.IDX.399701,-1,5876.19,20180905150000000,entershort
SZSE.IDX.399701,0,5794.46,20180906150000000,exitshort
SZSE.IDX.399701,1,5815.49,20180907150000000,enterlong
SZSE.IDX.399701,0,5760.62,20180910150000000,exitlong
SZSE.IDX.399701,1,5753.91,20180911150000000,enterlong
SZSE.IDX.399701,0,5717.06,20180912150000000,exitlong
SZSE.IDX.399701,-1,5775.92,20180913150000000,entershort
SZSE.IDX.399701,0,5805.02,20180914150000000,exitshort
SZSE.IDX.399701,1,5735.9,20180917150000000,enterlong
SZSE.IDX.399701,0,6067.89,20180927150000000,exitlong
SZSE.IDX.399701,1,6115.03,20180928150000000,enterlong
SZSE.IDX.399701,0,5858.14,20181008150000000,exitlong
SZSE.IDX.399701,1,5843.3,20181010150000000,enterlong
SZSE.IDX.399701,0,5552.43,20181011150000000,exitlong
SZSE.IDX.399701,1,5658.43,20181012150000000,enterlong
SZSE.IDX.399701,0,5563.39,20181015150000000,exitlong
