date,closeprofit,positionprofit,dynbalance,fee
20180102,0.00,0.00,0.00,0.00
20180103,0.00,13.63,13.63,0.00
20180104,0.00,95.19,95.19,0.00
20180105,0.00,155.11,155.11,0.00
20180108,164.85,0.00,164.85,0.00
20180109,164.85,112.80,277.65,0.00
20180110,164.85,184.90,349.75,0.00
20180111,164.85,138.24,303.09,0.00
20180112,297.95,0.00,297.95,0.00
20180115,297.95,57.02,354.97,0.00
20180116,297.95,213.39,511.34,0.00
20180117,297.95,95.62,393.57,0.00
20180118,391.73,0.00,391.73,0.00
20180119,391.73,-42.68,349.05,0.00
20180122,339.76,0.00,339.76,0.00
20180123,339.76,69.80,409.56,0.00
20180124,339.76,13.40,353.16,0.00
20180125,338.44,0.00,338.44,0.00
20180126,338.44,-61.32,277.12,0.00
20180129,272.32,0.00,272.32,0.00
20180130,272.32,111.10,383.42,0.00
20180131,272.32,25.29,297.61,0.00
20180201,304.41,0.00,304.41,0.00
20180202,304.41,-133.18,171.23,0.00
20180205,299.26,0.00,299.26,0.00
20180206,299.26,-73.70,225.56,0.00
20180207,363.25,0.00,363.25,0.00
20180208,363.25,-54.57,308.68,0.00
20180209,542.54,0.00,542.54,0.00
20180212,542.54,-143.60,398.94,0.00
20180213,326.90,0.00,326.90,0.00
20180214,326.90,95.47,422.37,0.00
20180222,326.90,265.24,592.14,0.00
20180223,326.90,275.09,601.99,0.00
20180226,655.98,0.00,655.98,0.00
20180227,655.98,-223.68,432.30,0.00
20180228,345.19,0.00,345.19,0.00
20180301,345.19,79.72,424.91,0.00
20180302,345.19,43.58,388.77,0.00
20180305,345.19,-5.59,339.60,0.00
20180306,376.76,0.00,376.76,0.00
20180307,376.76,-63.88,312.88,0.00
20180308,327.57,0.00,327.57,0.00
20180309,327.57,21.26,348.83,0.00
20180312,394.67,0.00,394.67,0.00
20180313,394.67,51.33,446.00,0.00
20180314,394.67,84.53,479.20,0.00
20180315,513.67,0.00,513.67,0.00
20180316,513.67,-81.40,432.27,0.00
20180319,425.36,0.00,425.36,0.00
20180320,425.36,-20.33,405.03,0.00
20180321,379.73,0.00,379.73,0.00
20180322,379.73,-127.73,252.00,0.00
20180323,-2.77,0.00,-2.77,0.00
20180326,-2.77,17.26,14.49,0.00
20180327,108.05,0.00,108.05,0.00
20180328,108.05,38.22,146.27,0.00
20180329,107.20,0.00,107.20,0.00
20180330,107.20,-29.98,77.22,0.00
20180402,75.61,0.00,75.61,0.00
20180403,75.61,39.11,114.72,0.00
20180404,75.61,66.94,142.55,0.00
20180409,75.61,-15.90,59.71,0.00
20180410,74.07,0.00,74.07,0.00
20180411,74.07,31.65,105.72,0.00
20180412,74.07,-52.39,21.68,0.00
20180413,71.13,0.00,71.13,0.00
20180416,71.13,128.64,199.77,0.00
20180417,71.13,209.49,280.62,0.00
20180418,71.13,199.09,270.22,0.00
20180419,71.13,63.70,134.83,0.00
20180420,135.75,0.00,135.75,0.00
20180423,135.75,34.81,170.56,0.00
20180424,184.54,0.00,184.54,0.00
20180425,184.54,-17.43,167.11,0.00
20180426,65.88,0.00,65.88,0.00
20180427,65.88,-95.11,-29.23,0.00
20180502,-19.75,0.00,-19.75,0.00
20180503,-19.75,90.31,70.56,0.00
20180504,44.30,0.00,44.30,0.00
20180507,44.30,114.33,158.63,0.00
20180508,158.41,0.00,158.41,0.00
20180509,158.41,-6.93,151.48,0.00
20180510,168.19,0.00,168.19,0.00
20180511,168.19,-70.88,97.31,0.00
20180514,124.37,0.00,124.37,0.00
20180515,124.37,-0.12,124.25,0.00
20180516,97.82,0.00,97.82,0.00
20180517,97.82,-50.38,47.44,0.00
20180518,44.29,0.00,44.29,0.00
20180521,44.29,-35.07,9.22,0.00
20180522,3.70,0.00,3.70,0.00
20180523,3.70,75.39,79.09,0.00
20180524,3.70,129.27,132.97,0.00
20180525,3.70,145.24,148.94,0.00
20180528,145.65,0.00,145.65,0.00
20180529,145.65,-67.17,78.48,0.00
20180530,-4.73,0.00,-4.73,0.00
20180531,-4.73,153.14,148.41,0.00
20180601,-4.73,100.74,96.01,0.00
20180604,125.45,0.00,125.45,0.00
20180605,125.45,58.76,184.21,0.00
20180606,125.45,31.35,156.80,0.00
20180607,186.32,0.00,186.32,0.00
20180608,186.32,-57.76,128.56,0.00
20180611,126.01,0.00,126.01,0.00
20180612,126.01,100.25,226.26,0.00
20180613,195.39,0.00,195.39,0.00
20180614,195.39,-32.59,162.80,0.00
20180615,155.85,0.00,155.85,0.00
20180619,155.85,-218.13,-62.28,0.00
20180620,-83.25,0.00,-83.25,0.00
20180621,-83.25,-52.35,-135.60,0.00
20180622,-186.65,0.00,-186.65,0.00
20180625,-186.65,-142.46,-329.11,0.00
20180626,-414.88,0.00,-414.88,0.00
20180627,-414.88,-163.89,-578.77,0.00
20180628,-625.16,0.00,-625.16,0.00
20180629,-625.16,154.31,-470.85,0.00
20180702,-625.16,-65.11,-690.27,0.00
20180703,-676.34,0.00,-676.34,0.00
20180704,-676.34,-110.64,-786.98,0.00
20180705,-767.88,0.00,-767.88,0.00
20180706,-767.88,24.91,-742.97,0.00
20180709,-706.56,0.00,-706.56,0.00
20180710,-706.56,-2.08,-708.64,0.00
20180711,-843.42,0.00,-843.42,0.00
20180712,-843.42,137.01,-706.41,0.00
20180713,-843.42,162.67,-680.75,0.00
20180716,-679.99,0.00,-679.99,0.00
