date,code,volume,closeprofit,dynprofit
20180103,SZSE.IDX.399701,1,0.00,13.63
20180104,SZSE.IDX.399701,1,0.00,95.19
20180105,SZSE.IDX.399701,1,0.00,155.11
20180109,SZSE.IDX.399701,1,164.85,112.80
20180110,SZSE.IDX.399701,1,164.85,184.90
20180111,SZSE.IDX.399701,1,164.85,138.24
20180115,SZSE.IDX.399701,1,297.95,57.02
20180116,SZSE.IDX.399701,1,297.95,213.39
20180117,SZSE.IDX.399701,1,297.95,95.62
20180119,SZSE.IDX.399701,1,391.73,-42.68
20180123,SZSE.IDX.399701,1,339.76,69.80
20180124,SZSE.IDX.399701,1,339.76,13.40
20180126,SZSE.IDX.399701,-1,338.44,-61.32
20180130,SZSE.IDX.399701,-1,272.32,111.10
20180131,SZSE.IDX.399701,-1,272.32,25.29
20180202,SZSE.IDX.399701,-1,304.41,-133.18
20180206,SZSE.IDX.399701,1,299.26,-73.70
20180208,SZSE.IDX.399701,-1,363.25,-54.57
20180212,SZSE.IDX.399701,-1,542.54,-143.60
20180214,SZSE.IDX.399701,1,326.90,95.47
20180222,SZSE.IDX.399701,1,326.90,265.24
20180223,SZSE.IDX.399701,1,326.90,275.09
20180227,SZSE.IDX.399701,1,655.98,-223.68
20180301,SZSE.IDX.399701,1,345.19,79.72
20180302,SZSE.IDX.399701,1,345.19,43.58
20180305,SZSE.IDX.399701,1,345.19,-5.59
20180307,SZSE.IDX.399701,1,376.76,-63.88
20180309,SZSE.IDX.399701,1,327.57,21.26
20180313,SZSE.IDX.399701,-1,394.67,51.33
20180314,SZSE.IDX.399701,-1,394.67,84.53
20180316,SZSE.IDX.399701,1,513.67,-81.40
20180320,SZSE.IDX.399701,-1,425.36,-20.33
20180322,SZSE.IDX.399701,1,379.73,-127.73
20180326,SZSE.IDX.399701,1,-2.77,17.26
20180328,SZSE.IDX.399701,-1,108.05,38.22
20180330,SZSE.IDX.399701,1,107.20,-29.98
20180403,SZSE.IDX.399701,1,75.61,39.11
20180404,SZSE.IDX.399701,1,75.61,66.94
20180409,SZSE.IDX.399701,1,75.61,-15.90
20180411,SZSE.IDX.399701,1,74.07,31.65
20180412,SZSE.IDX.399701,1,74.07,-52.39
20180416,SZSE.IDX.399701,-1,71.13,128.64
20180417,SZSE.IDX.399701,-1,71.13,209.49
20180418,SZSE.IDX.399701,-1,71.13,199.09
20180419,SZSE.IDX.399701,-1,71.13,63.70
20180423,SZSE.IDX.399701,1,135.75,34.81
20180425,SZSE.IDX.399701,1,184.54,-17.43
20180427,SZSE.IDX.399701,1,65.88,-95.11
20180503,SZSE.IDX.399701,1,-19.75,90.31
