date,time,open,high,low,close,volume
2017-01-11,0,5229.53,5244.2,5174.19,5180.05,4010100.0
2017-01-12,0,5176.34,5199.04,5143.16,5143.16,3876836.0
2017-01-13,0,5142.77,5153.29,5046.36,5051.1,4491954.0
2017-01-16,0,5056.73,5061.45,4730.68,4870.47,7129261.0
2017-01-17,0,4857.96,5008.23,4825.72,4997.99,6218429.0
2017-01-18,0,4977.26,4986.15,4944.62,4947.13,4260746.0
2017-01-19,0,4937.9,4973.33,4914.57,4948.26,2790124.0
2017-01-20,0,4943.99,5088.93,4939.3,5057.42,5049148.0
2017-01-23,0,5058.04,5101.42,5057.33,5076.43,3719844.0
2017-01-24,0,5068.55,5068.86,4997.9,5006.41,4482115.0
2017-01-25,0,4999.0,5042.22,4993.47,5028.56,3018861.0
2017-01-26,0,5032.52,5061.1,5032.52,5053.5,2980908.0
2017-02-03,0,5056.16,5066.03,5032.77,5049.74,2804397.0
2017-02-06,0,5044.03,5119.25,5034.71,5109.89,4434660.0
2017-02-07,0,5105.54,5112.04,5059.71,5080.18,4062653.0
2017-02-08,0,5063.09,5108.1,5048.0,5108.1,4035985.0
2017-02-09,0,5107.95,5140.77,5104.01,5130.72,4548546.0
2017-02-10,0,5128.96,5133.7,5097.47,5108.2,4244403.0
2017-02-13,0,5101.56,5133.52,5080.21,5121.87,4090788.0
2017-02-14,0,5132.06,5150.54,5111.41,5125.65,4259713.0
2017-02-15,0,5115.58,5134.17,5058.0,5063.57,4229315.0
2017-02-16,0,5061.58,5088.17,5049.28,5085.78,3940671.0
2017-02-17,0,5087.4,5095.53,5037.77,5046.58,4199636.0
2017-02-20,0,5045.15,5091.89,5036.21,5091.89,4165995.0
2017-02-21,0,5091.89,5156.08,5087.18,5150.0,5530388.0
2017-02-22,0,5156.35,5175.41,5138.33,5167.12,4828007.0
2017-02-23,0,5166.26,5166.49,5131.91,5164.06,4510898.0
2017-02-24,0,5162.05,5211.91,5153.75,5211.91,5808285.0
2017-02-27,0,5212.69,5237.21,5180.65,5186.37,5363575.0
2017-02-28,0,5189.22,5207.24,5166.02,5191.45,4514869.0
2017-03-01,0,5189.79,5203.57,5179.95,5189.75,4491977.0
2017-03-02,0,5195.2,5202.47,5137.54,5140.33,4563301.0
2017-03-03,0,5128.74,5154.5,5098.21,5147.89,4689758.0
2017-03-06,0,5147.97,5214.83,5147.97,5213.31,5483670.0
2017-03-07,0,5217.75,5255.43,5205.6,5255.43,5831506.0
2017-03-08,0,5256.25,5256.94,5213.95,5227.08,4699422.0
2017-03-09,0,5216.74,5221.36,5192.77,5210.38,4715677.0
2017-03-10,0,5205.75,5219.3,5189.72,5199.68,3899477.0
2017-03-13,0,5200.44,5251.0,5158.53,5251.0,4823026.0
2017-03-14,0,5255.44,5282.2,5233.93,5250.9,5006298.0
