date,time,open,high,low,close,volume
2015-09-07,0,1765.51,1825.35,1708.46,1720.91,5095973.0
2015-09-08,0,1711.35,1779.5,1660.75,1766.64,4087307.0
2015-09-09,0,1777.33,1827.54,1769.44,1816.53,6658275.0
2015-09-10,0,1796.83,1822.69,1776.29,1782.21,4381570.0
2015-09-11,0,1779.3,1798.07,1755.46,1784.53,3194388.0
2015-09-14,0,1799.68,1804.46,1637.11,1640.11,4962274.0
2015-09-15,0,1598.97,1634.1,1530.72,1542.76,3649054.0
2015-09-16,0,1553.86,1664.74,1545.05,1662.16,4055329.0
2015-09-17,0,1665.6,1708.2,1624.5,1624.69,4923907.0
2015-09-18,0,1642.2,1657.77,1617.26,1639.98,2796646.0
2015-09-21,0,1626.17,1683.43,1612.17,1683.15,3146831.0
2015-09-22,0,1684.93,1704.31,1673.49,1686.37,3590501.0
2015-09-23,0,1668.53,1688.13,1645.01,1655.78,3111331.0
2015-09-24,0,1660.93,1684.83,1650.8,1677.25,3097666.0
2015-09-25,0,1672.91,1682.03,1629.64,1639.21,3343691.0
2015-09-28,0,1634.2,1653.32,1612.88,1652.03,1777162.0
2015-09-29,0,1628.04,1637.26,1603.3,1612.28,1865027.0
2015-09-30,0,1623.28,1630.62,1608.47,1616.46,1348527.0
2015-10-08,0,1666.59,1685.56,1656.39,1672.41,2806608.0
2015-10-09,0,1672.69,1717.84,1667.91,1711.33,3284299.0
2015-10-12,0,1721.97,1791.82,1718.6,1779.03,5157582.0
2015-10-13,0,1771.76,1804.33,1758.8,1798.33,4784097.0
2015-10-14,0,1800.78,1812.33,1768.75,1770.34,4526362.0
2015-10-15,0,1756.49,1827.48,1756.49,1827.48,5674420.0
2015-10-16,0,1848.78,1870.46,1831.87,1865.55,6748096.0
2015-10-19,0,1889.19,1907.1,1855.91,1879.19,8216463.0
2015-10-20,0,1872.4,1907.3,1868.43,1907.3,6141966.0
2015-10-21,0,1909.02,1912.17,1768.28,1768.83,7741364.0
2015-10-22,0,1768.52,1834.77,1761.58,1829.0,5221920.0
2015-10-23,0,1839.77,1881.39,1826.0,1870.7,6111920.0
2015-10-26,0,1901.56,1909.49,1861.15,1878.89,6502164.0
2015-10-27,0,1865.71,1891.82,1806.03,1881.55,5150653.0
2015-10-28,0,1880.57,1910.75,1864.66,1871.87,7733824.0
2015-10-29,0,1878.57,1899.81,1860.03,1882.03,5713662.0
2015-10-30,0,1888.19,1903.59,1856.45,1874.51,5278273.0
2015-11-02,0,1844.57,1892.67,1833.99,1838.08,4352602.0
2015-11-03,0,1844.72,1858.7,1804.03,1815.92,3587863.0
2015-11-04,0,1824.46,1910.8,1822.18,1910.68,5681897.0
2015-11-05,0,1912.61,1969.13,1902.75,1940.38,9107306.0
2015-11-06,0,1938.19,1982.91,1931.63,1981.33,7046713.0
2015-11-09,0,1983.94,2005.47,1960.07,1991.91,8055884.0
2015-11-10,0,1977.72,2002.12,1969.59,1979.22,6842243.0
2015-11-11,0,1985.03,1999.63,1967.56,1999.2,6419117.0
2015-11-12,0,2005.28,2010.96,1966.97,1994.78,6838859.0
2015-11-13,0,1988.41,2041.07,1981.34,2010.77,7765357.0
2015-11-16,0,1970.56,2044.48,1962.58,2044.39,5967146.0
2015-11-17,0,2086.53,2097.35,2028.39,2055.29,10327658.0
2015-11-18,0,2048.19,2055.5,1981.97,1985.55,5977917.0
2015-11-19,0,1987.08,2003.49,1959.16,2003.49,4823337.0
2015-11-20,0,2003.53,2009.86,1980.03,2001.16,5685892.0
2015-11-23,0,1999.79,2029.61,1986.26,1996.59,6151708.0
2015-11-24,0,1996.02,2005.95,1968.15,2005.95,3985308.0
2015-11-25,0,2001.62,2039.24,1996.1,2038.89,5371246.0
2015-11-26,0,2055.79,2062.94,2022.18,2022.53,6231324.0
2015-11-27,0,2007.64,2018.72,1869.7,1886.16,7812843.0
2015-11-30,0,1895.5,1936.11,1811.12,1928.15,6538704.0
2015-12-01,0,1924.86,1934.59,1894.18,1921.82,4632993.0
2015-12-02,0,1921.12,1927.24,1863.43,1922.19,4473663.0
2015-12-03,0,1925.83,1947.31,1918.79,1944.35,3870200.0
2015-12-04,0,1934.65,1937.48,1899.38,1913.58,3905557.0
2015-12-07,0,1915.94,1927.87,1903.32,1920.92,3103291.0
2015-12-08,0,1914.32,1915.21,1866.29,1869.38,3508975.0
2015-12-09,0,1860.79,1871.08,1828.79,1837.55,2691273.0
2015-12-10,0,1840.1,1859.91,1827.37,1832.93,2745281.0
2015-12-11,0,1825.97,1839.43,1811.97,1831.12,2960627.0
2015-12-14,0,1830.85,1885.12,1827.93,1885.12,3641166.0
2015-12-15,0,1886.59,1899.54,1872.19,1886.04,3486811.0
2015-12-16,0,1893.76,1899.35,1872.49,1873.92,2664031.0
2015-12-17,0,1884.3,1917.59,1884.3,1916.69,4084700.0
2015-12-18,0,1917.72,1918.32,1890.76,1897.94,3485782.0
2015-12-21,0,1892.95,1935.22,1891.08,1930.75,3999225.0
2015-12-22,0,1937.28,1940.91,1916.32,1934.82,3303374.0
2015-12-23,0,1934.41,1960.79,1930.77,1937.57,4519383.0
2015-12-24,0,1922.55,1925.77,1881.84,1899.88,3103995.0
2015-12-25,0,1901.79,1915.13,1895.43,1910.81,2121644.0
2015-12-28,0,1914.66,1924.92,1854.67,1854.67,3821861.0
2015-12-29,0,1853.15,1862.46,1833.22,1859.48,2473757.0
2015-12-30,0,1863.67,1876.67,1855.78,1876.67,2354262.0
2015-12-31,0,1875.57,1875.57,1848.78,1849.39,2253422.0
2016-01-04,0,1853.06,1853.06,1685.08,1687.31,2988665.0
2016-01-05,0,1620.13,1715.44,1611.13,1683.8,3940374.0
2016-01-06,0,1692.97,1733.28,1686.44,1733.24,3350390.0
2016-01-07,0,1703.33,1703.33,1568.93,1572.08,841967.0
2016-01-08,0,1629.62,1645.37,1513.56,1602.24,3470961.0
2016-01-11,0,1568.43,1583.01,1472.18,1473.07,3281793.0
2016-01-12,0,1476.76,1496.42,1438.13,1477.92,2484163.0
2016-01-13,0,1490.36,1502.79,1440.54,1445.07,2224203.0
2016-01-14,0,1406.68,1485.14,1404.06,1481.18,2349599.0
2016-01-15,0,1471.56,1485.44,1411.2,1419.93,2190898.0
2016-01-18,0,1388.79,1446.97,1386.7,1426.43,1754887.0
2016-01-19,0,1426.3,1480.4,1418.6,1477.42,2358416.0
2016-01-20,0,1471.13,1503.12,1449.27,1486.6,3450673.0
2016-01-21,0,1457.66,1484.96,1414.44,1414.44,2702172.0
2016-01-22,0,1431.14,1442.28,1398.03,1430.53,1745530.0
2016-01-25,0,1442.71,1454.79,1427.14,1435.92,1498765.0
