date,time,open,high,low,close,volume
2010-11-26,0,4441.18,4454.47,4376.95,4411.79,12255698.0
2010-11-29,0,4408.42,4422.41,4353.02,4407.3,10823716.0
2010-11-30,0,4402.09,4431.07,4226.25,4350.08,15549578.0
2010-12-01,0,4339.26,4373.17,4315.38,4355.83,9396203.0
2010-12-02,0,4427.11,4440.31,4384.37,4384.37,10961963.0
2010-12-03,0,4396.34,4428.81,4369.94,4407.83,8996486.0
2010-12-06,0,4417.99,4441.34,4382.09,4401.01,9770076.0
2010-12-07,0,4387.54,4491.62,4343.6,4473.57,11072846.0
2010-12-08,0,4474.75,4516.76,4446.73,4454.64,11186880.0
2010-12-09,0,4435.79,4465.56,4379.2,4379.25,10482112.0
2010-12-10,0,4352.02,4440.04,4340.86,4419.71,9290602.0
2010-12-13,0,4445.9,4576.55,4445.9,4575.46,15061789.0
2010-12-14,0,4592.46,4604.01,4562.53,4590.16,14074933.0
2010-12-15,0,4589.31,4601.54,4543.58,4549.26,11733246.0
2010-12-16,0,4543.82,4574.63,4530.08,4535.23,10233793.0
2010-12-17,0,4535.71,4550.11,4515.75,4534.48,7717584.0
2010-12-20,0,4552.48,4569.99,4392.8,4468.43,13315227.0
2010-12-21,0,4477.68,4592.67,4466.03,4592.67,16393201.0
2010-12-22,0,4598.67,4645.14,4544.56,4563.21,14081944.0
2010-12-23,0,4562.33,4583.31,4505.91,4510.81,11535134.0
2010-12-24,0,4491.2,4522.5,4451.64,4485.74,10214469.0
2010-12-27,0,4491.92,4564.04,4389.45,4393.12,12976272.0
2010-12-28,0,4372.68,4390.27,4297.8,4298.99,10503549.0
2010-12-29,0,4304.77,4321.1,4263.86,4318.59,8202272.0
2010-12-30,0,4315.03,4351.25,4264.77,4327.85,9373106.0
2010-12-31,0,4336.18,4431.61,4332.77,4427.0,11224160.0
2011-01-04,0,4463.66,4523.68,4453.98,4517.55,15824767.0
2011-01-05,0,4490.74,4526.22,4471.53,4505.27,13495254.0
2011-01-06,0,4507.49,4540.95,4483.49,4493.15,10809385.0
2011-01-07,0,4485.54,4561.09,4460.09,4486.58,14214794.0
2011-01-10,0,4485.47,4511.0,4395.93,4406.58,10382918.0
2011-01-11,0,4386.63,4440.52,4363.44,4430.71,9435778.0
2011-01-12,0,4441.66,4486.77,4400.04,4450.82,10312395.0
2011-01-13,0,4465.74,4472.74,4418.09,4435.78,7796716.0
2011-01-14,0,4424.28,4424.28,4363.91,4388.09,8175426.0
2011-01-17,0,4347.95,4368.6,4187.63,4195.38,10723454.0
2011-01-18,0,4181.32,4206.52,4159.85,4195.95,7083805.0
2011-01-19,0,4198.95,4294.51,4180.69,4290.44,8588449.0
2011-01-20,0,4277.49,4277.49,4134.12,4134.22,8664002.0
2011-01-21,0,4126.31,4246.41,4121.36,4187.67,9114339.0
2011-01-24,0,4194.78,4208.71,4143.82,4163.18,8375432.0
2011-01-25,0,4161.09,4187.74,4137.95,4163.2,6181459.0
2011-01-26,0,4165.4,4221.25,4165.4,4209.59,5369273.0
2011-01-27,0,4165.4,4275.12,4138.51,4268.67,10377425.0
2011-01-28,0,4266.76,4307.65,4252.21,4292.88,9200805.0
2011-01-31,0,4289.69,4339.7,4274.02,4332.18,8346525.0
2011-02-01,0,4346.11,4346.93,4301.79,4323.34,6440789.0
2011-02-09,0,4292.29,4337.27,4255.75,4273.27,8003049.0
2011-02-10,0,4263.14,4385.92,4256.95,4383.19,10497854.0
2011-02-11,0,4378.63,4449.84,4365.61,4423.25,12624117.0
2011-02-14,0,4430.75,4585.26,4430.75,4574.78,19471372.0
2011-02-15,0,4581.87,4621.82,4561.44,4562.37,15409409.0
2011-02-16,0,4555.14,4647.85,4550.46,4647.85,16813427.0
2011-02-17,0,4653.04,4679.92,4584.43,4625.24,14958883.0
2011-02-18,0,4612.3,4612.3,4548.15,4562.61,11739005.0
2011-02-21,0,4530.12,4645.39,4526.38,4645.39,13673217.0
2011-02-22,0,4656.81,4656.81,4496.51,4497.94,16314574.0
2011-02-23,0,4483.95,4523.47,4467.5,4504.73,10066713.0
2011-02-25,0,4532.75,4567.23,4482.17,4545.89,9596049.0
2011-02-28,0,4555.77,4652.19,4535.15,4649.81,15885697.0
2011-03-01,0,4650.23,4682.54,4629.31,4655.17,17579039.0
2011-03-02,0,4629.11,4637.54,4558.69,4624.2,12941273.0
2011-03-03,0,4626.19,4656.83,4578.54,4578.54,14477557.0
2011-03-04,0,4584.85,4660.38,4584.48,4657.5,13690533.0
2011-03-07,0,4677.39,4761.04,4677.39,4753.69,23896336.0
2011-03-08,0,4754.13,4759.44,4715.24,4751.3,17500403.0
2011-03-09,0,4757.81,4778.33,4732.52,4756.29,15105554.0
2011-03-10,0,4743.14,4743.14,4688.88,4692.07,14889935.0
2011-03-11,0,4663.85,4703.72,4631.98,4640.69,13290663.0
2011-03-14,0,4638.48,4678.74,4625.68,4678.74,12134248.0
2011-03-15,0,4662.35,4662.35,4509.64,4604.86,16986631.0
2011-03-16,0,4600.96,4675.23,4592.5,4666.85,16695238.0
2011-03-17,0,4620.89,4649.98,4566.71,4580.96,13453930.0
2011-03-18,0,4626.52,4642.08,4592.21,4610.06,9999413.0
2011-03-21,0,4615.19,4637.7,4567.87,4586.92,10298143.0
2011-03-22,0,4600.52,4614.06,4533.63,4604.46,9041696.0
2011-03-23,0,4602.37,4669.87,4593.08,4667.33,12006112.0
2011-03-24,0,4674.58,4682.4,4644.42,4645.58,9844343.0
2011-03-25,0,4653.38,4722.29,4649.13,4708.47,13911721.0
2011-03-28,0,4733.59,4761.1,4690.08,4696.38,16901650.0
2011-03-29,0,4687.7,4723.54,4644.36,4650.08,16099924.0
2011-03-30,0,4648.57,4688.25,4612.19,4657.55,12062333.0
2011-03-31,0,4653.74,4657.82,4578.43,4599.49,11215580.0
2011-04-01,0,4596.84,4653.06,4579.62,4653.06,9825020.0
2011-04-06,0,4637.49,4695.58,4628.55,4687.16,17309468.0
2011-04-07,0,4688.8,4755.85,4680.65,4744.1,17346845.0
2011-04-08,0,4742.83,4808.61,4728.58,4806.39,14166760.0
2011-04-11,0,4821.59,4862.75,4796.82,4800.43,22214034.0
2011-04-12,0,4793.96,4888.53,4789.38,4825.49,23788625.0
2011-04-13,0,4805.1,4863.64,4770.04,4863.64,18895285.0
2011-04-14,0,4869.16,4883.5,4820.27,4832.24,19030301.0
2011-04-15,0,4811.93,4832.37,4756.91,4812.17,16186332.0
2011-04-18,0,4797.1,4847.31,4788.59,4841.79,18890120.0
2011-04-19,0,4795.46,4829.65,4762.39,4786.67,22537445.0
2011-04-20,0,4775.82,4792.01,4734.58,4747.16,15694668.0
2011-04-21,0,4763.73,4819.42,4754.79,4803.72,16920926.0
2011-04-22,0,4803.76,4828.4,4763.78,4774.39,13710590.0
2011-04-25,0,4758.34,4758.34,4677.09,4680.88,18643254.0
2011-04-26,0,4662.82,4678.23,4605.49,4635.96,13748458.0
2011-04-27,0,4647.81,4672.48,4562.84,4598.92,12565057.0
2011-04-28,0,4610.12,4624.59,4505.65,4506.69,13004161.0
2011-04-29,0,4505.9,4580.28,4502.38,4580.28,10011141.0
2011-05-03,0,4579.53,4627.35,4540.23,4627.35,9612506.0
2011-05-04,0,4603.36,4603.36,4471.52,4496.39,10309727.0
2011-05-05,0,4473.92,4527.66,4461.46,4507.55,9468430.0
2011-05-06,0,4466.04,4526.84,4446.11,4500.88,13027848.0
2011-05-09,0,4506.25,4554.57,4506.25,4530.48,10063111.0
2011-05-10,0,4537.48,4564.83,4517.41,4564.83,8217054.0
2011-05-11,0,4569.33,4587.68,4524.3,4553.28,10657364.0
2011-05-12,0,4517.9,4555.84,4479.28,4479.53,10595299.0
2011-05-13,0,4485.01,4503.35,4434.63,4500.52,8002370.0
2011-05-16,0,4493.76,4526.31,4459.07,4463.72,10056646.0
2011-05-17,0,4454.93,4520.07,4434.64,4494.13,11527407.0
2011-05-18,0,4487.77,4534.78,4483.62,4518.98,8758234.0
2011-05-19,0,4533.13,4546.79,4478.49,4481.33,11787192.0
2011-05-20,0,4483.25,4493.55,4460.91,4475.57,8511225.0
2011-05-23,0,4467.4,4467.4,4315.42,4315.42,11832140.0
2011-05-24,0,4297.31,4322.12,4267.35,4317.29,9883075.0
2011-05-25,0,4305.03,4331.16,4265.6,4269.35,8219657.0
2011-05-26,0,4296.06,4317.13,4229.53,4229.53,7695066.0
2011-05-27,0,4231.7,4254.79,4196.04,4202.17,8796158.0
2011-05-30,0,4192.6,4234.96,4171.99,4190.34,6543014.0
2011-05-31,0,4194.42,4272.35,4171.14,4272.35,9253240.0
2011-06-01,0,4263.13,4285.5,4241.86,4277.76,7799789.0
2011-06-02,0,4228.69,4240.01,4168.69,4214.15,9567515.0
2011-06-03,0,4210.79,4280.41,4210.19,4264.31,7813230.0
2011-06-07,0,4253.54,4300.72,4246.49,4295.55,7685927.0
2011-06-08,0,4292.43,4323.22,4240.51,4318.98,10895134.0
2011-06-09,0,4303.67,4313.31,4232.36,4233.32,10357042.0
2011-06-10,0,4222.29,4254.14,4194.05,4247.9,10226238.0
2011-06-13,0,4217.71,4237.42,4179.32,4225.47,7480037.0
2011-06-14,0,4216.78,4315.18,4214.68,4306.55,11933081.0
2011-06-15,0,4294.18,4341.48,4271.57,4272.14,9329175.0
2011-06-16,0,4232.3,4247.12,4196.61,4202.99,7537393.0
2011-06-17,0,4203.47,4240.73,4180.46,4180.46,8194231.0
2011-06-20,0,4179.44,4192.25,4133.35,4145.46,6330302.0
2011-06-21,0,4154.79,4209.65,4154.79,4209.2,8929636.0
2011-06-22,0,4213.06,4232.8,4187.01,4204.73,7950020.0
2011-06-23,0,4194.17,4297.54,4173.21,4282.1,9742821.0
2011-06-24,0,4271.21,4399.27,4264.72,4370.98,15209231.0
2011-06-27,0,4378.81,4412.46,4348.45,4380.22,12381287.0
2011-06-28,0,4385.88,4398.3,4346.2,4391.99,10678379.0
2011-06-29,0,4390.92,4404.21,4344.11,4346.32,9318795.0
2011-06-30,0,4351.92,4428.76,4350.95,4414.11,12876135.0
2011-07-01,0,4426.11,4466.42,4402.91,4435.06,11503679.0
2011-07-04,0,4457.54,4543.38,4457.54,4534.96,16606737.0
2011-07-05,0,4531.01,4547.99,4512.43,4535.2,13177336.0
2011-07-06,0,4527.24,4527.24,4475.94,4518.73,11253588.0
2011-07-07,0,4520.64,4550.72,4485.21,4490.5,12271143.0
2011-07-08,0,4489.79,4517.56,4471.55,4494.62,9265269.0
2011-07-11,0,4477.26,4504.64,4452.53,4490.82,8837477.0
2011-07-12,0,4459.84,4464.11,4409.66,4425.19,12178768.0
2011-07-13,0,4426.77,4498.02,4426.77,4495.08,9876408.0
2011-07-14,0,4504.54,4523.33,4467.62,4501.82,9863925.0
2011-07-15,0,4484.73,4513.92,4462.61,4507.55,12189556.0
2011-07-18,0,4507.99,4510.29,4474.15,4485.7,10441804.0
2011-07-19,0,4462.81,4463.01,4429.35,4443.04,10054324.0
2011-07-20,0,4468.93,4477.31,4410.13,4444.77,7826496.0
2011-07-21,0,4443.99,4454.52,4401.88,4403.01,7906259.0
2011-07-22,0,4414.61,4445.14,4406.78,4419.7,6860169.0
2011-07-25,0,4392.83,4392.83,4255.18,4270.75,11083743.0
2011-07-26,0,4268.55,4291.1,4254.86,4291.07,8281422.0
2011-07-27,0,4265.33,4328.85,4251.99,4323.4,7800184.0
2011-07-28,0,4287.99,4306.35,4261.18,4304.03,7842484.0
2011-07-29,0,4299.06,4319.18,4251.71,4280.61,6896549.0
2011-08-01,0,4276.11,4312.05,4259.24,4292.31,5696160.0
2011-08-02,0,4271.29,4271.29,4213.74,4264.93,7595722.0
2011-08-03,0,4225.23,4298.55,4224.98,4265.05,8248391.0
2011-08-04,0,4272.57,4304.87,4255.63,4263.83,7449263.0
2011-08-05,0,4150.16,4189.32,4131.09,4164.04,9691278.0
2011-08-08,0,4120.12,4149.54,3915.16,3992.0,12484700.0
2011-08-09,0,3883.92,4013.93,3862.14,3988.46,12793503.0
2011-08-10,0,4060.38,4085.18,4028.16,4032.22,11561101.0
2011-08-11,0,3966.47,4086.14,3966.33,4080.18,12723746.0
2011-08-12,0,4104.21,4133.39,4095.29,4103.76,13421100.0
2011-08-15,0,4117.57,4157.06,4095.58,4157.06,17158427.0
2011-08-16,0,4157.8,4160.62,4109.1,4122.58,11584692.0
2011-08-17,0,4111.31,4133.98,4089.63,4095.45,9321181.0
2011-08-18,0,4097.67,4101.5,4021.13,4024.2,8786780.0
2011-08-19,0,3952.13,3993.8,3945.52,3981.06,8242097.0
2011-08-22,0,3984.76,4014.76,3931.21,3940.37,6666857.0
