date,time,open,high,low,close,volume
2015-09-07,0,865.18,889.47,846.81,851.5,3420956.0
2015-09-08,0,845.78,880.59,835.57,871.49,2663202.0
2015-09-09,0,876.32,902.19,875.07,902.05,4534427.0
2015-09-10,0,893.84,918.62,887.85,902.6,3943315.0
2015-09-11,0,900.09,911.42,892.93,904.27,2619265.0
2015-09-14,0,912.47,920.05,843.92,845.4,3625467.0
2015-09-15,0,824.28,842.92,809.43,811.64,2614751.0
2015-09-16,0,816.68,862.64,810.99,859.91,3106678.0
2015-09-17,0,858.73,882.23,842.07,842.07,3705721.0
2015-09-18,0,846.35,855.4,835.87,850.6,2494889.0
2015-09-21,0,842.57,880.08,841.57,879.92,2902575.0
2015-09-22,0,880.59,898.05,878.23,885.71,3514046.0
2015-09-23,0,873.29,888.07,865.98,876.41,3056316.0
2015-09-24,0,877.18,892.47,877.18,887.87,2606231.0
2015-09-25,0,886.09,892.18,856.89,863.03,2648744.0
2015-09-28,0,863.57,867.17,847.77,866.48,1535217.0
2015-09-29,0,853.99,857.71,845.84,849.94,1501582.0
2015-09-30,0,830.43,834.86,824.47,828.66,1246980.0
2015-10-08,0,830.15,837.3,825.68,833.88,1940840.0
2015-10-09,0,813.45,827.36,809.96,823.93,2250549.0
2015-10-12,0,807.91,846.28,807.09,837.2,5123517.0
2015-10-13,0,822.84,840.95,818.29,837.25,3878218.0
2015-10-14,0,833.55,842.11,822.23,824.19,3405124.0
2015-10-15,0,816.36,852.51,816.36,851.91,4807999.0
2015-10-16,0,870.28,883.81,858.7,881.86,6289404.0
2015-10-19,0,882.2,894.31,870.6,883.81,5613627.0
2015-10-20,0,881.04,897.92,867.45,894.47,4584829.0
2015-10-21,0,891.47,901.02,817.15,817.33,5447253.0
2015-10-22,0,815.66,853.35,806.85,852.52,4130786.0
2015-10-23,0,855.81,878.31,847.15,869.3,4307789.0
2015-10-26,0,876.28,887.72,865.05,874.77,3824278.0
2015-10-27,0,870.34,886.08,839.68,882.02,3917551.0
2015-10-28,0,875.86,886.55,858.97,864.18,3812195.0
2015-10-29,0,874.56,892.66,871.97,886.17,3653577.0
2015-10-30,0,879.82,896.99,863.22,867.25,3952863.0
2015-11-02,0,844.89,871.11,840.24,845.01,3192481.0
2015-11-03,0,846.06,853.2,834.83,841.97,2110265.0
