date,time,open,high,low,close,volume
2014-04-11,0,1769.39,1784.94,1764.86,1778.64,6898436.0
2014-04-14,0,1774.51,1794.58,1772.28,1794.58,5984764.0
2014-04-15,0,1792.21,1792.21,1761.97,1765.52,6410911.0
2014-04-16,0,1758.52,1767.9,1754.36,1761.34,5075834.0
2014-04-17,0,1763.38,1768.85,1752.55,1762.52,5062638.0
2014-04-18,0,1756.57,1763.14,1749.38,1763.14,4389263.0
2014-04-21,0,1752.64,1766.09,1728.63,1729.99,5549392.0
2014-04-22,0,1725.66,1738.58,1699.5,1722.93,5481089.0
2014-04-23,0,1720.09,1727.3,1710.07,1714.65,4532858.0
2014-04-24,0,1712.53,1716.75,1697.95,1699.75,4487616.0
2014-04-25,0,1696.72,1699.79,1654.24,1654.71,6702808.0
2014-04-28,0,1651.1,1652.54,1611.37,1615.03,7969425.0
2014-04-29,0,1613.74,1645.21,1613.74,1645.21,4298577.0
2014-04-30,0,1643.86,1655.96,1638.92,1651.85,3619098.0
2014-05-05,0,1645.87,1658.84,1637.22,1658.84,3641999.0
2014-05-06,0,1653.28,1669.32,1652.03,1664.06,6324500.0
2014-05-07,0,1657.84,1657.84,1639.8,1640.58,6027439.0
2014-05-08,0,1634.89,1667.91,1630.17,1642.12,6108781.0
2014-05-09,0,1638.52,1641.8,1619.48,1633.06,5822178.0
2014-05-12,0,1645.82,1680.84,1640.49,1680.84,8852293.0
2014-05-13,0,1683.5,1686.19,1667.71,1678.54,8595890.0
2014-05-14,0,1675.54,1680.88,1667.14,1672.16,5416224.0
2014-05-15,0,1667.49,1667.8,1636.05,1637.9,5393248.0
2014-05-16,0,1633.6,1636.97,1616.99,1635.83,4318746.0
2014-05-19,0,1631.13,1631.13,1604.18,1616.4,3927457.0
2014-05-20,0,1622.58,1637.19,1616.2,1620.19,3900600.0
2014-05-21,0,1616.29,1638.69,1602.62,1638.0,3933641.0
2014-05-22,0,1638.48,1653.94,1633.81,1634.08,4416266.0
2014-05-23,0,1628.85,1648.7,1626.99,1648.7,3982222.0
2014-05-26,0,1659.77,1673.25,1659.77,1671.18,4555267.0
2014-05-27,0,1670.29,1672.64,1659.39,1661.9,3795386.0
2014-05-28,0,1658.7,1680.4,1654.25,1679.21,4912055.0
2014-05-29,0,1678.44,1685.8,1658.15,1658.15,4638257.0
2014-05-30,0,1656.87,1668.87,1648.88,1660.08,4480993.0
2014-06-03,0,1660.93,1668.53,1654.84,1655.51,3799511.0
2014-06-04,0,1650.38,1650.38,1625.03,1635.95,3742526.0
2014-06-05,0,1633.6,1651.52,1631.61,1651.52,3020509.0
2014-06-06,0,1650.19,1650.19,1635.93,1644.98,3381965.0
2014-06-09,0,1638.33,1650.4,1634.61,1636.58,2976859.0
2014-06-10,0,1639.4,1660.26,1636.31,1660.09,4125588.0
2014-06-11,0,1657.78,1666.62,1654.9,1666.34,3953391.0
2014-06-12,0,1662.41,1662.8,1654.91,1661.7,4233310.0
2014-06-13,0,1660.61,1692.61,1660.61,1690.1,5835762.0
2014-06-16,0,1691.29,1707.22,1691.29,1704.9,5838160.0
2014-06-17,0,1701.43,1701.43,1682.07,1682.66,4658253.0
2014-06-18,0,1681.44,1681.44,1665.01,1668.46,4499143.0
2014-06-19,0,1666.34,1670.54,1620.82,1628.09,4627396.0
2014-06-20,0,1626.85,1647.8,1626.85,1647.8,4103914.0
2014-06-23,0,1649.88,1660.6,1648.04,1651.83,3749707.0
2014-06-24,0,1651.62,1662.15,1647.96,1662.15,3719542.0
2014-06-25,0,1659.46,1659.46,1647.18,1654.73,3402349.0
