date,time,open,high,low,close,volume
2017-06-09,0,3063.44,3073.29,3036.3,3064.6,4011163.0
2017-06-12,0,3049.24,3052.15,3003.6,3007.73,3870535.0
2017-06-13,0,3002.59,3060.92,3000.72,3052.51,4030190.0
2017-06-14,0,3046.43,3062.89,3029.19,3045.32,3872734.0
2017-06-15,0,3038.4,3127.49,3034.8,3112.98,7165578.0
2017-06-16,0,3109.47,3113.29,3086.63,3092.08,4052538.0
2017-06-19,0,3084.93,3109.99,3084.93,3109.99,3540768.0
2017-06-20,0,3116.58,3148.96,3112.06,3112.15,6178708.0
2017-06-21,0,3118.59,3121.06,3070.5,3093.36,5180838.0
2017-06-22,0,3092.87,3106.66,3042.4,3042.4,5407283.0
2017-06-23,0,3039.02,3054.38,2995.04,3047.45,5415362.0
2017-06-26,0,3044.23,3086.98,3036.55,3086.98,5022300.0
2017-06-27,0,3084.86,3116.04,3082.83,3097.49,4915607.0
2017-06-28,0,3096.29,3102.47,3074.6,3084.47,4469054.0
2017-06-29,0,3087.19,3138.15,3082.76,3120.46,5588321.0
2017-06-30,0,3105.93,3113.85,3084.91,3104.25,4147685.0
2017-07-03,0,3102.07,3136.18,3096.05,3136.18,4898573.0
2017-07-04,0,3132.12,3136.55,3112.45,3131.8,4161982.0
2017-07-05,0,3129.86,3148.4,3124.26,3148.4,5977869.0
2017-07-06,0,3139.54,3153.87,3114.89,3144.07,6395702.0
2017-07-07,0,3137.41,3144.07,3120.79,3129.42,5452879.0
2017-07-10,0,3119.46,3123.22,3086.51,3088.45,4964234.0
2017-07-11,0,3080.48,3088.71,3046.6,3046.75,4174793.0
2017-07-12,0,3041.32,3054.11,2978.74,3027.97,4833043.0
2017-07-13,0,3023.92,3024.89,3005.93,3014.17,3521831.0
2017-07-14,0,3012.61,3023.27,2989.1,2997.09,3920956.0
2017-07-17,0,2958.4,2958.4,2802.18,2802.18,7475359.0
2017-07-18,0,2773.55,2828.7,2754.66,2816.43,5130666.0
2017-07-19,0,2807.82,2838.58,2788.46,2838.58,4754220.0
2017-07-20,0,2839.33,2879.7,2837.0,2837.44,4773045.0
2017-07-21,0,2834.57,2859.61,2832.21,2841.05,3849004.0
2017-07-24,0,2833.93,2852.26,2822.31,2847.55,4722982.0
2017-07-25,0,2842.11,2852.88,2828.44,2842.07,3638314.0
2017-07-26,0,2842.94,2848.16,2821.55,2834.54,3747693.0
2017-07-27,0,2838.39,2982.33,2834.03,2979.45,11007082.0
2017-07-28,0,2969.5,2980.24,2953.15,2958.34,8461791.0
2017-07-31,0,2950.61,2992.71,2940.93,2983.06,8152637.0
2017-08-01,0,2974.39,2991.15,2962.49,2989.61,7301807.0
2017-08-02,0,2982.86,2995.26,2963.08,2965.76,7937921.0
2017-08-03,0,2955.35,3059.98,2950.6,3009.28,10583935.0
2017-08-04,0,3010.45,3025.64,2995.64,2999.91,9009659.0
2017-08-07,0,2992.55,3036.67,2991.65,3008.27,6732056.0
2017-08-08,0,3000.82,3059.16,2981.5,3059.16,9959399.0
2017-08-09,0,3044.9,3055.71,3022.89,3031.06,8267422.0
2017-08-10,0,3023.31,3051.92,2981.31,3001.14,8167519.0
2017-08-11,0,2974.63,3019.48,2968.25,2974.41,8110634.0
2017-08-14,0,2981.19,3083.71,2981.03,3082.51,10563934.0
2017-08-15,0,3087.46,3099.54,3064.84,3088.06,9139817.0
2017-08-16,0,3084.82,3181.86,3078.75,3165.35,14503697.0
2017-08-17,0,3150.08,3241.4,3144.23,3207.26,14856959.0
2017-08-18,0,3178.74,3206.06,3153.61,3160.65,9321325.0
2017-08-21,0,3165.14,3189.49,3154.11,3177.83,8072012.0
2017-08-22,0,3168.98,3170.02,3135.03,3145.31,7476447.0
2017-08-23,0,3144.53,3155.23,3119.94,3129.64,7708805.0
2017-08-24,0,3123.46,3127.45,3082.81,3091.1,7595815.0
2017-08-25,0,3094.78,3155.71,3094.78,3155.71,8122489.0
2017-08-28,0,3159.77,3250.35,3157.87,3216.41,11962999.0
2017-08-29,0,3210.48,3224.25,3190.91,3199.47,8299807.0
2017-08-30,0,3201.3,3235.36,3199.79,3206.77,8450819.0
2017-08-31,0,3207.9,3229.63,3203.93,3229.63,8222928.0
2017-09-01,0,3233.6,3303.85,3226.73,3301.64,11741187.0
2017-09-04,0,3287.46,3355.24,3285.91,3335.99,12820524.0
2017-09-05,0,3335.36,3353.31,3314.87,3319.3,10182381.0
2017-09-06,0,3308.16,3363.68,3299.42,3363.68,11032749.0
2017-09-07,0,3364.28,3405.56,3318.8,3320.17,12887326.0
2017-09-08,0,3311.93,3330.13,3288.8,3321.59,8440397.0
2017-09-11,0,3324.32,3342.45,3313.09,3335.16,7118437.0
2017-09-12,0,3336.12,3369.78,3316.64,3340.91,10983174.0
2017-09-13,0,3339.94,3366.94,3335.95,3353.95,7579397.0
2017-09-14,0,3360.12,3380.34,3339.48,3358.78,9110640.0
2017-09-15,0,3345.36,3351.06,3315.38,3325.03,7897368.0
2017-09-18,0,3322.95,3359.94,3322.95,3359.94,7349329.0
2017-09-19,0,3361.51,3365.79,3302.7,3311.71,7391215.0
2017-09-20,0,3309.21,3341.98,3304.25,3340.1,7605611.0
2017-09-21,0,3338.37,3350.27,3291.2,3291.2,8194329.0
2017-09-22,0,3283.91,3284.24,3243.85,3267.21,6734503.0
2017-09-25,0,3260.17,3276.16,3200.1,3206.57,5927903.0
2017-09-26,0,3203.36,3216.39,3185.74,3213.76,5295385.0
2017-09-27,0,3211.21,3242.28,3210.64,3231.42,4793562.0
2017-09-28,0,3226.1,3256.79,3223.7,3226.36,5850966.0
2017-09-29,0,3229.25,3258.87,3229.22,3258.19,5402093.0
2017-10-09,0,3313.92,3329.39,3302.06,3316.25,7664369.0
2017-10-10,0,3319.25,3375.07,3315.26,3375.07,7853329.0
2017-10-11,0,3368.26,3368.71,3332.16,3334.45,7350512.0
2017-10-12,0,3333.12,3363.26,3303.86,3327.01,7117318.0
2017-10-13,0,3323.05,3339.25,3306.67,3336.24,6584796.0
2017-10-16,0,3331.03,3333.78,3235.66,3235.66,7543712.0
2017-10-17,0,3232.13,3254.17,3219.27,3227.01,5122708.0
2017-10-18,0,3230.89,3253.45,3197.21,3197.21,6539619.0
2017-10-19,0,3197.92,3213.78,3158.67,3163.88,6386681.0
2017-10-20,0,3165.84,3203.12,3156.16,3202.82,5275775.0
2017-10-23,0,3203.93,3218.68,3200.46,3216.46,5136858.0
2017-10-24,0,3208.36,3208.76,3174.45,3208.76,5825158.0
2017-10-25,0,3203.65,3220.91,3197.05,3220.91,4835501.0
2017-10-26,0,3217.73,3235.01,3202.74,3221.42,5409340.0
2017-10-27,0,3222.26,3225.18,3183.11,3184.55,5191701.0
2017-10-30,0,3176.35,3179.65,3063.2,3070.58,7907788.0
2017-10-31,0,3067.02,3095.22,3064.6,3095.1,5220357.0
2017-11-01,0,3093.2,3120.36,3084.38,3101.95,5476169.0
2017-11-02,0,3106.27,3109.86,3078.5,3090.81,6072582.0
2017-11-03,0,3089.21,3097.19,3042.51,3060.01,5744947.0
2017-11-06,0,3058.53,3089.27,3036.33,3089.27,4285630.0
2017-11-07,0,3087.45,3119.05,3083.83,3119.05,5658826.0
2017-11-08,0,3117.56,3164.92,3112.42,3153.64,6596485.0
2017-11-09,0,3141.6,3191.65,3137.7,3186.55,7504287.0
2017-11-10,0,3178.05,3201.63,3168.72,3191.08,7817300.0
2017-11-13,0,3188.47,3189.93,3167.07,3189.4,7213845.0
2017-11-14,0,3185.99,3201.36,3162.77,3174.35,7155247.0
2017-11-15,0,3163.56,3172.72,3123.62,3127.54,5664280.0
2017-11-16,0,3121.64,3144.89,3110.15,3115.55,5177354.0
2017-11-17,0,3124.6,3129.32,3003.91,3009.81,7671239.0
2017-11-20,0,2995.18,3027.56,2930.1,3027.56,6469746.0
2017-11-21,0,3018.38,3055.92,3018.02,3046.54,6735693.0
2017-11-22,0,3041.49,3087.29,3029.61,3060.98,7822733.0
2017-11-23,0,3045.79,3055.8,2981.11,2981.11,6510672.0
2017-11-24,0,2968.55,3011.71,2965.46,2984.29,5058635.0
2017-11-27,0,2977.99,2989.34,2931.8,2938.28,5344972.0
2017-11-28,0,2937.39,3018.77,2937.39,3018.77,5662301.0
2017-11-29,0,3013.92,3015.74,2970.15,3014.09,5157899.0
2017-11-30,0,3009.39,3022.55,2974.89,2983.36,4653679.0
2017-12-01,0,2978.85,3039.82,2978.78,3037.91,5976507.0
2017-12-04,0,3026.45,3028.75,2984.98,2992.97,5065787.0
2017-12-05,0,2984.35,2996.81,2887.6,2909.97,5813626.0
2017-12-06,0,2901.6,2950.01,2877.7,2950.01,5061542.0
2017-12-07,0,2934.05,2967.86,2928.67,2942.4,5275651.0
2017-12-08,0,2937.75,2989.31,2937.07,2971.93,5350659.0
2017-12-11,0,3009.99,3057.42,3009.99,3047.16,7508454.0
2017-12-12,0,3049.27,3049.27,3011.33,3011.33,5785909.0
2017-12-13,0,3008.48,3025.39,2997.87,3023.24,4996450.0
2017-12-14,0,3018.89,3026.92,3000.57,3019.39,5968821.0
