date,time,open,high,low,close,volume
2015-06-19,0,9069.98,9203.8,8719.56,8734.39,49348676.0
2015-06-23,0,8726.63,8828.32,8199.74,8823.45,52063935.0
2015-06-24,0,8896.32,8988.73,8673.8,8925.83,55297130.0
2015-06-25,0,8952.57,8955.02,8419.29,8537.03,55945029.0
2015-06-26,0,8240.02,8249.4,7799.06,7810.91,48595757.0
2015-06-29,0,7924.76,7936.28,7157.69,7238.85,62756039.0
2015-06-30,0,7019.0,7620.51,6703.52,7613.91,71416883.0
2015-07-01,0,7521.99,7807.05,7162.68,7207.21,71146487.0
2015-07-02,0,7155.78,7223.28,6670.95,6721.48,64464286.0
2015-07-03,0,6453.7,6840.33,6232.22,6360.67,64430645.0
2015-07-06,0,6777.87,6777.87,5959.68,6214.71,88551061.0
2015-07-07,0,6007.65,6050.12,5850.59,5861.58,42883150.0
2015-07-08,0,5644.78,5832.0,5639.74,5787.83,94044812.0
2015-07-09,0,5740.49,5983.14,5740.49,5983.14,36727326.0
2015-07-10,0,6125.13,6225.1,6112.62,6225.1,26037336.0
2015-07-13,0,6450.69,6547.79,6411.03,6547.75,43918619.0
2015-07-14,0,6715.58,6863.75,6661.8,6719.84,60226196.0
2015-07-15,0,6771.41,6771.41,6384.63,6396.34,74031761.0
2015-07-16,0,6290.99,6674.85,6103.74,6542.16,66387476.0
2015-07-17,0,6589.39,6955.14,6573.51,6908.45,64728475.0
2015-07-20,0,6980.33,7180.63,6908.37,7073.82,75065157.0
2015-07-21,0,6981.68,7227.81,6917.56,7162.35,65074183.0
2015-07-22,0,7141.8,7278.73,7030.92,7246.49,74712174.0
2015-07-23,0,7253.86,7484.4,7195.7,7453.44,80230467.0
2015-07-24,0,7475.79,7603.3,7259.15,7326.28,84553905.0
2015-07-27,0,7161.27,7393.67,6771.54,6772.09,74438752.0
2015-07-28,0,6466.14,6854.18,6300.18,6600.71,78605991.0
2015-07-29,0,6713.36,6926.39,6452.72,6926.39,59251549.0
2015-07-30,0,6907.52,7065.28,6702.14,6712.25,64148220.0
2015-07-31,0,6618.49,6803.27,6577.44,6666.27,48114367.0
2015-08-03,0,6551.27,6606.1,6368.74,6491.93,51993092.0
2015-08-04,0,6500.17,6846.99,6480.29,6846.75,53839972.0
2015-08-05,0,6852.03,6944.0,6698.0,6762.54,55451807.0
2015-08-06,0,6608.19,6795.63,6586.46,6703.08,38527846.0
2015-08-07,0,6775.86,6920.9,6765.32,6917.17,48524055.0
2015-08-10,0,6995.97,7280.06,6967.5,7235.35,64152926.0
2015-08-11,0,7238.11,7354.92,7185.55,7240.01,71119991.0
