code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
SZSE.IDX.399662,LONG,201801031500,1973.09,201801081500,1992.23,1,19.14,39.06,-2.79,19.14,enterlong,exitlong,1,4
SZSE.IDX.399662,LONG,201801091500,2001.92,201801101500,1996.69,1,-5.23,4.14,-11.46,13.91,enterlong,exitlong,5,6
SZSE.IDX.399662,SHORT,201801111500,1978.08,201801121500,1996.54,1,-18.46,7.05,-24.63,-4.55,entershort,exitshort,7,8
SZSE.IDX.399662,SHORT,201801151500,1969.58,201801171500,1914.18,1,55.4,69.14,0,50.85,entershort,exitshort,9,11
SZSE.IDX.399662,SHORT,201801181500,1908.66,201801191500,1917.23,1,-8.57,0,-18.81,42.28,entershort,exitshort,12,13
SZSE.IDX.399662,LONG,201801221500,1916.77,201801231500,1946.29,1,29.52,33.85,-10.45,71.8,enterlong,exitlong,14,15
SZSE.IDX.399662,LONG,201801241500,1950.66,201801251500,1975.96,1,25.3,30.19,-14.25,97.1,enterlong,exitlong,16,17
SZSE.IDX.399662,LONG,201801261500,1966.37,201801301500,1937.08,1,-29.29,14.96,-27.36,67.81,enterlong,exitlong,18,20
SZSE.IDX.399662,LONG,201801311500,1919.59,201802011500,1881.23,1,-38.36,0,-40.07,29.45,enterlong,exitlong,21,22
SZSE.IDX.399662,LONG,201802021500,1805.35,201802051500,1799.1,1,-6.25,29.29,-33.97,23.2,enterlong,exitlong,23,24
SZSE.IDX.399662,LONG,201802061500,1779.45,201802071500,1747.62,1,-31.83,22.83,-73.71,-8.63,enterlong,exitlong,25,26
SZSE.IDX.399662,SHORT,201802081500,1707.89,201802091500,1684.88,1,23.01,0.85,-34.01,14.38,entershort,exitshort,27,28
SZSE.IDX.399662,LONG,201802121500,1673.73,201802141500,1733.01,1,59.28,77.3,0,73.66,enterlong,exitlong,29,31
SZSE.IDX.399662,SHORT,201802221500,1759.18,201802231500,1792.68,1,-33.5,3.23,-34.12,40.16,entershort,exitshort,32,33
SZSE.IDX.399662,SHORT,201802261500,1816.99,201802271500,1850.47,1,-33.48,7.94,-42.78,6.68,entershort,exitshort,34,35
SZSE.IDX.399662,LONG,201803011500,1847.31,201803061500,1881.62,1,34.31,50.13,-4.28,40.99,enterlong,exitlong,37,40
SZSE.IDX.399662,LONG,201803071500,1896.78,201803081500,1875.03,1,-21.75,3.51,-20.45,19.24,enterlong,exitlong,41,42
SZSE.IDX.399662,LONG,201803091500,1893.8,201803141500,1950.86,1,57.06,82.63,-1.32,76.3,enterlong,exitlong,43,46
SZSE.IDX.399662,LONG,201803151500,1928.07,201803161500,1934.99,1,6.92,11.94,-22.12,83.22,enterlong,exitlong,47,48
SZSE.IDX.399662,LONG,201803191500,1918.38,201803201500,1904.98,1,-13.4,18.44,-9.5,69.82,enterlong,exitlong,49,50
SZSE.IDX.399662,LONG,201803211500,1924.72,201803221500,1893.93,1,-30.79,14.65,-33.59,39.03,enterlong,exitlong,51,52
SZSE.IDX.399662,LONG,201803231500,1802.34,201803261500,1720.86,1,-81.48,20.92,-73.61,-42.45,enterlong,exitlong,53,54
SZSE.IDX.399662,LONG,201803271500,1825.35,201804031500,1868.41,1,43.06,100.71,-1.51,0.61,enterlong,exitlong,55,60
SZSE.IDX.399662,LONG,201804041500,1878.91,201804091500,1833.25,1,-45.66,6.24,-39.38,-45.05,enterlong,exitlong,61,62
SZSE.IDX.399662,LONG,201804101500,1848.93,201804111500,1865.93,1,17,10.18,-14.61,-28.05,enterlong,exitlong,63,64
SZSE.IDX.399662,LONG,201804121500,1860.28,201804131500,1855.66,1,-4.62,7.87,-18.58,-32.67,enterlong,exitlong,65,66
SZSE.IDX.399662,LONG,201804161500,1831.21,201804171500,1849.93,1,18.72,24.17,-8.54,-13.95,enterlong,exitlong,67,68
SZSE.IDX.399662,LONG,201804181500,1812.91,201804191500,1840.54,1,27.63,33.32,-34.65,13.68,enterlong,exitlong,69,70
SZSE.IDX.399662,LONG,201804201500,1844.65,201804231500,1820.14,1,-24.51,11.31,-33.16,-10.83,enterlong,exitlong,71,72
SZSE.IDX.399662,SHORT,201804241500,1784.15,201804251500,1823.22,1,-39.07,3.52,-53.02,-49.9,entershort,exitshort,73,74
