code,target,sigprice,gentime,usertag
SZSE.IDX.399662,1,1970.9,20180102150000000,enterlong
SZSE.IDX.399662,0,1992.78,20180105150000000,exitlong
SZSE.IDX.399662,1,2002.65,20180108150000000,enterlong
SZSE.IDX.399662,0,1998.87,20180109150000000,exitlong
SZSE.IDX.399662,-1,1984.14,20180110150000000,entershort
SZSE.IDX.399662,0,1999.24,20180111150000000,exitshort
SZSE.IDX.399662,-1,1974.1,20180112150000000,entershort
SZSE.IDX.399662,0,1917.31,20180116150000000,exitshort
SZSE.IDX.399662,-1,1913.82,20180117150000000,entershort
SZSE.IDX.399662,0,1918.02,20180118150000000,exitshort
SZSE.IDX.399662,1,1919.85,20180119150000000,enterlong
SZSE.IDX.399662,0,1947.15,20180122150000000,exitlong
SZSE.IDX.399662,1,1951.97,20180123150000000,enterlong
SZSE.IDX.399662,0,1979.62,20180124150000000,exitlong
SZSE.IDX.399662,1,1972.51,20180125150000000,enterlong
SZSE.IDX.399662,0,1943.74,20180129150000000,exitlong
SZSE.IDX.399662,1,1937.37,20180130150000000,enterlong
SZSE.IDX.399662,0,1886.34,20180131150000000,exitlong
SZSE.IDX.399662,1,1816.29,20180201150000000,enterlong
SZSE.IDX.399662,0,1831.75,20180202150000000,exitlong
SZSE.IDX.399662,1,1821.74,20180205150000000,enterlong
SZSE.IDX.399662,0,1705.74,20180206150000000,exitlong
SZSE.IDX.399662,-1,1714.74,20180207150000000,entershort
SZSE.IDX.399662,0,1734.97,20180208150000000,exitshort
SZSE.IDX.399662,1,1660.52,20180209150000000,enterlong
SZSE.IDX.399662,0,1728.33,20180213150000000,exitlong
SZSE.IDX.399662,-1,1739.43,20180214150000000,entershort
SZSE.IDX.399662,0,1789.17,20180222150000000,exitshort
SZSE.IDX.399662,-1,1799.69,20180223150000000,entershort
SZSE.IDX.399662,0,1853.93,20180226150000000,exitshort
SZSE.IDX.399662,1,1863.46,20180228150000000,enterlong
SZSE.IDX.399662,0,1878.29,20180305150000000,exitlong
SZSE.IDX.399662,1,1901.57,20180306150000000,enterlong
SZSE.IDX.399662,0,1877.51,20180307150000000,exitlong
SZSE.IDX.399662,1,1890.9,20180308150000000,enterlong
SZSE.IDX.399662,0,1955.86,20180313150000000,exitlong
SZSE.IDX.399662,1,1934.74,20180314150000000,enterlong
SZSE.IDX.399662,0,1935.63,20180315150000000,exitlong
SZSE.IDX.399662,1,1916.54,20180316150000000,enterlong
SZSE.IDX.399662,0,1921.93,20180319150000000,exitlong
SZSE.IDX.399662,1,1922.91,20180320150000000,enterlong
SZSE.IDX.399662,0,1891.13,20180321150000000,exitlong
SZSE.IDX.399662,1,1878.71,20180322150000000,enterlong
SZSE.IDX.399662,0,1748.22,20180323150000000,exitlong
SZSE.IDX.399662,1,1798.21,20180326150000000,enterlong
SZSE.IDX.399662,0,1905.03,20180402150000000,exitlong
SZSE.IDX.399662,1,1875.27,20180403150000000,enterlong
SZSE.IDX.399662,0,1840.65,20180404150000000,exitlong
SZSE.IDX.399662,1,1844.04,20180409150000000,enterlong
SZSE.IDX.399662,0,1859.11,20180410150000000,exitlong
SZSE.IDX.399662,1,1863.63,20180411150000000,enterlong
SZSE.IDX.399662,0,1842.18,20180412150000000,exitlong
SZSE.IDX.399662,1,1843.9,20180413150000000,enterlong
SZSE.IDX.399662,0,1842.85,20180416150000000,exitlong
SZSE.IDX.399662,1,1798.01,20180417150000000,enterlong
SZSE.IDX.399662,0,1840.22,20180418150000000,exitlong
SZSE.IDX.399662,1,1852.9,20180419150000000,enterlong
SZSE.IDX.399662,0,1813.9,20180420150000000,exitlong
SZSE.IDX.399662,-1,1791.02,20180423150000000,entershort
SZSE.IDX.399662,0,1837.17,20180424150000000,exitshort
SZSE.IDX.399662,1,1831.88,20180425150000000,enterlong
SZSE.IDX.399662,0,1785.13,20180426150000000,exitlong
SZSE.IDX.399662,-1,1785.83,20180427150000000,entershort
SZSE.IDX.399662,0,1775.39,20180502150000000,exitshort
SZSE.IDX.399662,1,1797.5,20180503150000000,enterlong
SZSE.IDX.399662,0,1779.8,20180504150000000,exitlong
SZSE.IDX.399662,1,1828.32,20180507150000000,enterlong
SZSE.IDX.399662,0,1842.3,20180510150000000,exitlong
SZSE.IDX.399662,1,1831.19,20180511150000000,enterlong
SZSE.IDX.399662,0,1821.42,20180514150000000,exitlong
SZSE.IDX.399662,1,1842.53,20180515150000000,enterlong
