date,code,volume,closeprofit,dynprofit
20180103,SZSE.IDX.399658,1,0.00,45.20
20180104,SZSE.IDX.399658,1,0.00,58.68
20180105,SZSE.IDX.399658,1,0.00,38.49
20180109,SZSE.IDX.399658,-1,39.76,-21.52
20180111,SZSE.IDX.399658,1,26.56,24.90
20180115,SZSE.IDX.399658,1,49.34,-83.85
20180117,SZSE.IDX.399658,1,-43.49,-19.17
20180119,SZSE.IDX.399658,1,-73.20,-2.37
20180123,SZSE.IDX.399658,1,-74.72,15.36
20180124,SZSE.IDX.399658,1,-74.72,35.24
20180126,SZSE.IDX.399658,1,-46.91,-5.96
20180129,SZSE.IDX.399658,1,-46.91,-82.93
20180131,SZSE.IDX.399658,1,-142.83,-27.39
20180202,SZSE.IDX.399658,-1,-178.28,-40.86
20180206,SZSE.IDX.399658,1,-162.47,-90.42
20180208,SZSE.IDX.399658,-1,-183.33,-87.57
20180212,SZSE.IDX.399658,1,-158.13,108.79
20180213,SZSE.IDX.399658,1,-158.13,129.01
20180214,SZSE.IDX.399658,1,-158.13,144.05
20180223,SZSE.IDX.399658,1,30.98,-1.94
20180227,SZSE.IDX.399658,1,52.85,-20.46
20180301,SZSE.IDX.399658,1,-18.88,81.52
20180302,SZSE.IDX.399658,1,-18.88,20.96
20180306,SZSE.IDX.399658,1,9.75,40.80
20180307,SZSE.IDX.399658,1,9.75,-8.29
20180309,SZSE.IDX.399658,1,4.18,76.57
20180312,SZSE.IDX.399658,1,4.18,133.18
20180313,SZSE.IDX.399658,1,4.18,75.52
20180315,SZSE.IDX.399658,1,66.14,12.00
20180319,SZSE.IDX.399658,1,86.75,10.36
20180321,SZSE.IDX.399658,1,57.61,-52.22
20180323,SZSE.IDX.399658,1,6.30,-30.67
20180327,SZSE.IDX.399658,1,-85.39,46.82
20180328,SZSE.IDX.399658,1,-85.39,-6.77
20180329,SZSE.IDX.399658,1,-85.39,10.41
20180402,SZSE.IDX.399658,1,-53.80,-38.66
20180404,SZSE.IDX.399658,1,-146.29,-62.30
20180410,SZSE.IDX.399658,1,-220.93,25.52
20180412,SZSE.IDX.399658,1,-181.27,-21.06
20180416,SZSE.IDX.399658,1,-177.57,-2.33
20180418,SZSE.IDX.399658,1,-175.65,19.17
20180420,SZSE.IDX.399658,1,-154.62,-73.54
20180424,SZSE.IDX.399658,-1,-235.59,-91.09
20180426,SZSE.IDX.399658,1,-306.48,-90.91
20180502,SZSE.IDX.399658,1,-377.41,17.09
20180503,SZSE.IDX.399658,1,-377.41,59.06
20180507,SZSE.IDX.399658,1,-324.98,60.96
20180508,SZSE.IDX.399658,1,-324.98,83.10
20180509,SZSE.IDX.399658,1,-324.98,90.27
20180510,SZSE.IDX.399658,1,-324.98,113.24
20180511,SZSE.IDX.399658,1,-324.98,80.47
20180515,SZSE.IDX.399658,1,-234.31,15.49
20180517,SZSE.IDX.399658,1,-221.49,-31.95
20180521,SZSE.IDX.399658,1,-261.39,29.14
20180522,SZSE.IDX.399658,1,-261.39,40.40
20180524,SZSE.IDX.399658,-1,-220.82,15.54
20180528,SZSE.IDX.399658,1,-197.37,30.78
20180530,SZSE.IDX.399658,1,-176.45,-29.24
20180601,SZSE.IDX.399658,1,-173.33,-43.65
20180605,SZSE.IDX.399658,-1,-215.92,-100.59
20180607,SZSE.IDX.399658,1,-316.72,-45.22
20180611,SZSE.IDX.399658,-1,-373.04,33.03
20180613,SZSE.IDX.399658,1,-346.90,-63.09
20180615,SZSE.IDX.399658,1,-423.34,-75.02
20180620,SZSE.IDX.399658,-1,-564.91,-73.03
20180622,SZSE.IDX.399658,-1,-642.56,-71.74
20180626,SZSE.IDX.399658,-1,-746.50,-55.27
20180628,SZSE.IDX.399658,1,-805.89,-44.89
20180702,SZSE.IDX.399658,1,-843.67,-67.15
20180704,SZSE.IDX.399658,1,-912.13,-56.67
20180706,SZSE.IDX.399658,1,-971.46,21.33
20180710,SZSE.IDX.399658,1,-928.87,23.13
20180711,SZSE.IDX.399658,1,-928.87,-34.78
20180713,SZSE.IDX.399658,1,-962.33,26.20
20180716,SZSE.IDX.399658,1,-962.33,24.34
20180718,SZSE.IDX.399658,-1,-939.62,39.12
20180720,SZSE.IDX.399658,1,-913.03,38.83
20180724,SZSE.IDX.399658,1,-895.61,57.64
20180725,SZSE.IDX.399658,1,-895.61,66.76
20180726,SZSE.IDX.399658,1,-895.61,6.89
20180730,SZSE.IDX.399658,-1,-891.91,48.56
20180801,SZSE.IDX.399658,1,-845.14,-77.31
20180803,SZSE.IDX.399658,-1,-938.53,63.51
20180806,SZSE.IDX.399658,-1,-938.53,168.60
20180807,SZSE.IDX.399658,-1,-938.53,71.16
20180809,SZSE.IDX.399658,-1,-861.64,-122.48
20180813,SZSE.IDX.399658,1,-982.59,75.37
20180814,SZSE.IDX.399658,1,-982.59,40.18
20180816,SZSE.IDX.399658,-1,-933.98,1.36
20180820,SZSE.IDX.399658,-1,-959.67,-13.40
20180821,SZSE.IDX.399658,-1,-959.67,-65.49
20180823,SZSE.IDX.399658,-1,-1019.03,-22.42
20180827,SZSE.IDX.399658,1,-1035.99,92.58
20180828,SZSE.IDX.399658,1,-1035.99,99.36
20180829,SZSE.IDX.399658,1,-1035.99,60.78
20180831,SZSE.IDX.399658,1,-979.43,-41.60
20180904,SZSE.IDX.399658,-1,-1031.78,-38.55
20180906,SZSE.IDX.399658,1,-1059.99,-21.51
20180910,SZSE.IDX.399658,1,-1073.21,-65.90
20180912,SZSE.IDX.399658,1,-1141.22,-11.95
20180914,SZSE.IDX.399658,-1,-1111.22,31.38
20180917,SZSE.IDX.399658,-1,-1111.22,97.67
20180918,SZSE.IDX.399658,-1,-1111.22,24.81
20180920,SZSE.IDX.399658,1,-1079.34,-5.12
20180921,SZSE.IDX.399658,1,-1079.34,72.73
20180926,SZSE.IDX.399658,1,-1034.35,22.02
20180927,SZSE.IDX.399658,1,-1034.35,-13.42
20181008,SZSE.IDX.399658,1,-1039.87,-73.35
20181010,SZSE.IDX.399658,1,-1104.12,-25.07
20181012,SZSE.IDX.399658,1,-1249.80,30.14
