date,closeprofit,positionprofit,dynbalance,fee
20180102,0.00,0.00,0.00,0.00
20180103,0.00,45.20,45.20,0.00
20180104,0.00,58.68,58.68,0.00
20180105,0.00,38.49,38.49,0.00
20180108,39.76,0.00,39.76,0.00
20180109,39.76,-21.52,18.24,0.00
20180110,26.56,0.00,26.56,0.00
20180111,26.56,24.90,51.46,0.00
20180112,49.34,0.00,49.34,0.00
20180115,49.34,-83.85,-34.51,0.00
20180116,-43.49,0.00,-43.49,0.00
20180117,-43.49,-19.17,-62.66,0.00
20180118,-73.20,0.00,-73.20,0.00
20180119,-73.20,-2.37,-75.57,0.00
20180122,-74.72,0.00,-74.72,0.00
20180123,-74.72,15.36,-59.36,0.00
20180124,-74.72,35.24,-39.48,0.00
20180125,-46.91,0.00,-46.91,0.00
20180126,-46.91,-5.96,-52.87,0.00
20180129,-46.91,-82.93,-129.84,0.00
20180130,-142.83,0.00,-142.83,0.00
20180131,-142.83,-27.39,-170.22,0.00
20180201,-178.28,0.00,-178.28,0.00
20180202,-178.28,-40.86,-219.14,0.00
20180205,-162.47,0.00,-162.47,0.00
20180206,-162.47,-90.42,-252.89,0.00
20180207,-183.33,0.00,-183.33,0.00
20180208,-183.33,-87.57,-270.90,0.00
20180209,-158.13,0.00,-158.13,0.00
20180212,-158.13,108.79,-49.34,0.00
20180213,-158.13,129.01,-29.12,0.00
20180214,-158.13,144.05,-14.08,0.00
20180222,30.98,0.00,30.98,0.00
20180223,30.98,-1.94,29.04,0.00
20180226,52.85,0.00,52.85,0.00
20180227,52.85,-20.46,32.39,0.00
20180228,-18.88,0.00,-18.88,0.00
20180301,-18.88,81.52,62.64,0.00
20180302,-18.88,20.96,2.08,0.00
20180305,9.75,0.00,9.75,0.00
20180306,9.75,40.80,50.55,0.00
20180307,9.75,-8.29,1.46,0.00
20180308,4.18,0.00,4.18,0.00
20180309,4.18,76.57,80.75,0.00
20180312,4.18,133.18,137.36,0.00
20180313,4.18,75.52,79.70,0.00
20180314,66.14,0.00,66.14,0.00
20180315,66.14,12.00,78.14,0.00
20180316,86.75,0.00,86.75,0.00
20180319,86.75,10.36,97.11,0.00
20180320,57.61,0.00,57.61,0.00
20180321,57.61,-52.22,5.39,0.00
20180322,6.30,0.00,6.30,0.00
20180323,6.30,-30.67,-24.37,0.00
20180326,-85.39,0.00,-85.39,0.00
20180327,-85.39,46.82,-38.57,0.00
20180328,-85.39,-6.77,-92.16,0.00
20180329,-85.39,10.41,-74.98,0.00
20180330,-53.80,0.00,-53.80,0.00
20180402,-53.80,-38.66,-92.46,0.00
20180403,-146.29,0.00,-146.29,0.00
20180404,-146.29,-62.30,-208.59,0.00
20180409,-220.93,0.00,-220.93,0.00
20180410,-220.93,25.52,-195.41,0.00
20180411,-181.27,0.00,-181.27,0.00
20180412,-181.27,-21.06,-202.33,0.00
20180413,-177.57,0.00,-177.57,0.00
20180416,-177.57,-2.33,-179.90,0.00
20180417,-175.65,0.00,-175.65,0.00
20180418,-175.65,19.17,-156.48,0.00
20180419,-154.62,0.00,-154.62,0.00
20180420,-154.62,-73.54,-228.16,0.00
20180423,-235.59,0.00,-235.59,0.00
20180424,-235.59,-91.09,-326.68,0.00
20180425,-306.48,0.00,-306.48,0.00
20180426,-306.48,-90.91,-397.39,0.00
20180427,-377.41,0.00,-377.41,0.00
20180502,-377.41,17.09,-360.32,0.00
20180503,-377.41,59.06,-318.35,0.00
20180504,-324.98,0.00,-324.98,0.00
20180507,-324.98,60.96,-264.02,0.00
20180508,-324.98,83.10,-241.88,0.00
20180509,-324.98,90.27,-234.71,0.00
20180510,-324.98,113.24,-211.74,0.00
20180511,-324.98,80.47,-244.51,0.00
20180514,-234.31,0.00,-234.31,0.00
20180515,-234.31,15.49,-218.82,0.00
20180516,-221.49,0.00,-221.49,0.00
20180517,-221.49,-31.95,-253.44,0.00
20180518,-261.39,0.00,-261.39,0.00
20180521,-261.39,29.14,-232.25,0.00
20180522,-261.39,40.40,-220.99,0.00
20180523,-220.82,0.00,-220.82,0.00
20180524,-220.82,15.54,-205.28,0.00
20180525,-197.37,0.00,-197.37,0.00
20180528,-197.37,30.78,-166.59,0.00
20180529,-176.45,0.00,-176.45,0.00
20180530,-176.45,-29.24,-205.69,0.00
20180531,-173.33,0.00,-173.33,0.00
20180601,-173.33,-43.65,-216.98,0.00
20180604,-215.92,0.00,-215.92,0.00
20180605,-215.92,-100.59,-316.51,0.00
20180606,-316.72,0.00,-316.72,0.00
20180607,-316.72,-45.22,-361.94,0.00
20180608,-373.04,0.00,-373.04,0.00
20180611,-373.04,33.03,-340.01,0.00
20180612,-346.90,0.00,-346.90,0.00
20180613,-346.90,-63.09,-409.99,0.00
20180614,-423.34,0.00,-423.34,0.00
20180615,-423.34,-75.02,-498.36,0.00
20180619,-564.91,0.00,-564.91,0.00
20180620,-564.91,-73.03,-637.94,0.00
20180621,-642.56,0.00,-642.56,0.00
20180622,-642.56,-71.74,-714.30,0.00
20180625,-746.50,0.00,-746.50,0.00
20180626,-746.50,-55.27,-801.77,0.00
20180627,-805.89,0.00,-805.89,0.00
20180628,-805.89,-44.89,-850.78,0.00
20180629,-843.67,0.00,-843.67,0.00
20180702,-843.67,-67.15,-910.82,0.00
20180703,-912.13,0.00,-912.13,0.00
20180704,-912.13,-56.67,-968.80,0.00
20180705,-971.46,0.00,-971.46,0.00
20180706,-971.46,21.33,-950.13,0.00
20180709,-928.87,0.00,-928.87,0.00
20180710,-928.87,23.13,-905.74,0.00
20180711,-928.87,-34.78,-963.65,0.00
20180712,-962.33,0.00,-962.33,0.00
20180713,-962.33,26.20,-936.13,0.00
20180716,-962.33,24.34,-937.99,0.00
20180717,-939.62,0.00,-939.62,0.00
20180718,-939.62,39.12,-900.50,0.00
20180719,-913.03,0.00,-913.03,0.00
20180720,-913.03,38.83,-874.20,0.00
20180723,-895.61,0.00,-895.61,0.00
20180724,-895.61,57.64,-837.97,0.00
20180725,-895.61,66.76,-828.85,0.00
20180726,-895.61,6.89,-888.72,0.00
20180727,-891.91,0.00,-891.91,0.00
20180730,-891.91,48.56,-843.35,0.00
20180731,-845.14,0.00,-845.14,0.00
20180801,-845.14,-77.31,-922.45,0.00
20180802,-938.53,0.00,-938.53,0.00
20180803,-938.53,63.51,-875.02,0.00
20180806,-938.53,168.60,-769.93,0.00
20180807,-938.53,71.16,-867.37,0.00
20180808,-861.64,0.00,-861.64,0.00
20180809,-861.64,-122.48,-984.12,0.00
20180810,-982.59,0.00,-982.59,0.00
20180813,-982.59,75.37,-907.22,0.00
20180814,-982.59,40.18,-942.41,0.00
20180815,-933.98,0.00,-933.98,0.00
20180816,-933.98,1.36,-932.62,0.00
20180817,-959.67,0.00,-959.67,0.00
20180820,-959.67,-13.40,-973.07,0.00
20180821,-959.67,-65.49,-1025.16,0.00
20180822,-1019.03,0.00,-1019.03,0.00
20180823,-1019.03,-22.42,-1041.45,0.00
20180824,-1035.99,0.00,-1035.99,0.00
20180827,-1035.99,92.58,-943.41,0.00
20180828,-1035.99,99.36,-936.63,0.00
20180829,-1035.99,60.78,-975.21,0.00
20180830,-979.43,0.00,-979.43,0.00
20180831,-979.43,-41.60,-1021.03,0.00
20180903,-1031.78,0.00,-1031.78,0.00
20180904,-1031.78,-38.55,-1070.33,0.00
20180905,-1059.99,0.00,-1059.99,0.00
