code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
SZSE.IDX.399658,LONG,201806131500,4321.5,201806141500,4245.06,1,-76.44,1.12,-64.27,-423.34,enterlong,exitlong,107,108
SZSE.IDX.399658,LONG,201806151500,4219.75,201806191500,4078.18,1,-141.57,10.02,-95.72,-564.91,enterlong,exitlong,109,110
SZSE.IDX.399658,SHORT,201806201500,3917.96,201806211500,3995.61,1,-77.65,13.69,-92.75,-642.56,entershort,exitshort,111,112
SZSE.IDX.399658,SHORT,201806221500,3880.71,201806251500,3984.65,1,-103.94,37.9,-81.59,-746.5,entershort,exitshort,113,114
SZSE.IDX.399658,SHORT,201806261500,3865.03,201806271500,3924.42,1,-59.39,13.17,-66.17,-805.89,entershort,exitshort,115,116
SZSE.IDX.399658,LONG,201806281500,3831.51,201806291500,3793.73,1,-37.78,41.04,-49.45,-843.67,enterlong,exitlong,117,118
SZSE.IDX.399658,LONG,201807021500,3915.89,201807031500,3847.43,1,-68.46,20.92,-99.07,-912.13,enterlong,exitlong,119,120
SZSE.IDX.399658,LONG,201807041500,3833.42,201807051500,3774.09,1,-59.33,6.12,-69.38,-971.46,enterlong,exitlong,121,122
SZSE.IDX.399658,LONG,201807061500,3688.63,201807091500,3731.22,1,42.59,77.85,-56.34,-928.87,enterlong,exitlong,123,124
SZSE.IDX.399658,LONG,201807101500,3821.05,201807121500,3787.59,1,-33.46,24.55,-95.06,-962.33,enterlong,exitlong,125,127
SZSE.IDX.399658,LONG,201807131500,3891.03,201807171500,3913.74,1,22.71,45.46,-6.3,-939.62,enterlong,exitlong,128,130
SZSE.IDX.399658,SHORT,201807181500,3905.17,201807191500,3878.58,1,26.59,39.12,-19.4,-913.03,entershort,exitshort,131,132
SZSE.IDX.399658,LONG,201807201500,3845.36,201807231500,3862.78,1,17.42,45.72,-30.23,-895.61,enterlong,exitlong,133,134
SZSE.IDX.399658,LONG,201807241500,3905.84,201807271500,3909.54,1,3.7,88.23,-2.65,-891.91,enterlong,exitlong,135,138
SZSE.IDX.399658,SHORT,201807301500,3886.84,201807311500,3840.07,1,46.77,61.9,-11.7,-845.14,entershort,exitshort,139,140
SZSE.IDX.399658,LONG,201808011500,3832.8,201808021500,3739.41,1,-93.39,12.65,-80.69,-938.53,enterlong,exitlong,141,142
SZSE.IDX.399658,SHORT,201808031500,3651.27,201808081500,3574.38,1,76.89,198.74,-22.31,-861.64,entershort,exitshort,143,146
SZSE.IDX.399658,SHORT,201808091500,3500.04,201808101500,3620.99,1,-120.95,8.37,-139.93,-982.59,entershort,exitshort,147,148
SZSE.IDX.399658,LONG,201808131500,3609.86,201808151500,3658.47,1,48.61,81.54,-16.15,-933.98,enterlong,exitlong,149,151
SZSE.IDX.399658,SHORT,201808161500,3522.31,201808171500,3548,1,-25.69,39.11,-58.17,-959.67,entershort,exitshort,152,153
SZSE.IDX.399658,SHORT,201808201500,3465.1,201808221500,3524.46,1,-59.36,69.57,-69.71,-1019.03,entershort,exitshort,154,156
